data ,percentual,estados
01/02/20,"33,8",Rondônia 
02/02/20,"40,8",Rondônia 
03/02/20,"27,3",Rondônia 
04/02/20,"28,9",Rondônia 
05/02/20,"29,4",Rondônia 
06/02/20,"27,7",Rondônia 
07/02/20,"25,2",Rondônia 
08/02/20,"29,9",Rondônia 
09/02/20,"39,3",Rondônia 
10/02/20,24,Rondônia 
11/02/20,"25,3",Rondônia 
12/02/20,"25,5",Rondônia 
13/02/20,"27,7",Rondônia 
14/02/20,"26,2",Rondônia 
15/02/20,"34,8",Rondônia 
16/02/20,"41,3",Rondônia 
17/02/20,"25,4",Rondônia 
18/02/20,"28,5",Rondônia 
19/02/20,"31,5",Rondônia 
20/02/20,"26,9",Rondônia 
21/02/20,27,Rondônia 
22/02/20,34,Rondônia 
23/02/20,"43,7",Rondônia 
24/02/20,37,Rondônia 
25/02/20,"43,4",Rondônia 
26/02/20,36,Rondônia 
27/02/20,"29,9",Rondônia 
28/02/20,"27,5",Rondônia 
29/02/20,"32,3",Rondônia 
01/03/20,"43,5",Rondônia 
02/03/20,"28,4",Rondônia 
03/03/20,"33,6",Rondônia 
04/03/20,"32,9",Rondônia 
05/03/20,"32,3",Rondônia 
06/03/20,"31,5",Rondônia 
07/03/20,"34,1",Rondônia 
08/03/20,"42,6",Rondônia 
09/03/20,31,Rondônia 
10/03/20,"32,3",Rondônia 
11/03/20,"30,6",Rondônia 
12/03/20,"33,2",Rondônia 
13/03/20,"32,2",Rondônia 
14/03/20,37,Rondônia 
15/03/20,"44,7",Rondônia 
16/03/20,"32,6",Rondônia 
17/03/20,"34,1",Rondônia 
18/03/20,"37,9",Rondônia 
19/03/20,"38,7",Rondônia 
20/03/20,"39,4",Rondônia 
21/03/20,"51,5",Rondônia 
22/03/20,"66,1",Rondônia 
23/03/20,"51,2",Rondônia 
24/03/20,"53,4",Rondônia 
25/03/20,"53,4",Rondônia 
26/03/20,"52,2",Rondônia 
27/03/20,"49,7",Rondônia 
28/03/20,"51,2",Rondônia 
29/03/20,"58,2",Rondônia 
30/03/20,"47,7",Rondônia 
31/03/20,"46,1",Rondônia 
01/04/20,44,Rondônia 
02/04/20,"46,3",Rondônia 
03/04/20,"45,4",Rondônia 
04/04/20,"47,5",Rondônia 
05/04/20,"54,2",Rondônia 
06/04/20,"45,1",Rondônia 
07/04/20,"43,7",Rondônia 
08/04/20,"43,8",Rondônia 
09/04/20,"44,1",Rondônia 
10/04/20,52,Rondônia 
11/04/20,"47,1",Rondônia 
12/04/20,53,Rondônia 
13/04/20,44,Rondônia 
14/04/20,"45,7",Rondônia 
15/04/20,"47,3",Rondônia 
16/04/20,42,Rondônia 
17/04/20,"41,9",Rondônia 
18/04/20,"46,4",Rondônia 
19/04/20,"54,1",Rondônia 
20/04/20,44,Rondônia 
21/04/20,"51,1",Rondônia 
22/04/20,"42,9",Rondônia 
23/04/20,"43,6",Rondônia 
24/04/20,"41,4",Rondônia 
25/04/20,"45,5",Rondônia 
26/04/20,"53,2",Rondônia 
27/04/20,43,Rondônia 
28/04/20,"42,2",Rondônia 
29/04/20,"41,3",Rondônia 
30/04/20,41,Rondônia 
01/05/20,"49,7",Rondônia 
02/05/20,44,Rondônia 
03/05/20,"50,4",Rondônia 
04/05/20,42,Rondônia 
05/05/20,"41,5",Rondônia 
06/05/20,"41,9",Rondônia 
07/05/20,"42,5",Rondônia 
08/05/20,"40,8",Rondônia 
09/05/20,"43,3",Rondônia 
10/05/20,"47,1",Rondônia 
11/05/20,"43,3",Rondônia 
12/05/20,"43,9",Rondônia 
